Company Identifier,Total S1+S2 (tCo2e),Subsector Name,Charlie (milUSD),Alpha (milUSD),Romeo (milUSD),Echo
264,18812.09961,Hotels,NULL,NULL,96.61402759,1310
265,13154,Specialty Chemicals,NULL,NULL,441.6767555,1293
266,38739,Specialty Chemicals,1906.300161,780.3535956,2745.146036,20059
267,1.72E+07,Cement Manufacturers,1231.731621,1090.770771,2093.735595,15043
268,35860,Diversified Banks,NULL,301.9703822,1888.299656,18909
269,49538,Diversified Banks,NULL,847.0974113,3878.241218,9427
270,31882.44,Diversified Banks,NULL,776.8463241,3695.261642,9740
271,1.95E+08,Cement Manufacturers,12221.17948,9061.770394,18988.40286,43884
272,81226,Software,3638.481113,1191.142718,8495.003465,12874
273,32570,Regional Banks,NULL,53.0746504,2255.027242,4426
274,438730,Industrial Conglomerates,1155.201647,655.5946683,1416.230183,6110
275,5440180,Oil & Gas Refining & Marketing,38704.41709,8005.180466,42327.22124,31309
276,596400,Oil & Gas Storage & Transportation,424.6807993,1623.406592,586.6989939,5210
277,17338.7,Diversified Banks,NULL,683.8265067,1587.887079,NULL
278,1489967.56,Paper & Related Products,1071.222488,973.5981016,1336.462872,3566
279,30.99999809,Capital Markets,1.015226713,4.874697891,95.45376849,157
280,21724,Auto Parts,827.4238542,430.538623,949.9914399,780
281,254786,Paper & Related Products,452.0411916,-686.9190597,579.187081,NULL
282,144367,Automobiles,2839.81935,1092.353582,3295.220059,5003
283,130753.0078,Auto Parts,1890.851309,590.7531156,2094.231896,7564
284,8215,Auto Parts,294.4280535,46.90248912,383.8194941,5174
285,140809,Industrial Conglomerates,1020.768535,523.7724768,1312.733563,31832
286,514748,Diversified Banks,NULL,481.6028613,17615.92789,98061
287,4157000,Oil & Gas Refining & Marketing,37271.82605,7240.095723,38979.50055,34381
288,10130.7998,Diversified Banks,NULL,327.7275441,1903.73415,8045
289,835.2,Capital Markets,NULL,55.98786902,380.7579115,359
290,1623.100098,Specialty Chemicals,47.41332079,23.22335455,70.69753737,197
291,253875,Gambling,479.92711,1269.731341,967.3542415,14632
292,1004052,Industrial Conglomerates,1351.12329,1049.506619,1673.342789,20163
293,8503,Capital Markets,NULL,263.9774008,1421.65583,535
294,2868.81,Regional Banks,NULL,77.52768101,287.0145516,982
295,19781,Gambling,1627.146561,6052.073732,2763.012005,22228
296,6370,Diversified Banks,NULL,428.9123987,2177.850828,12851
297,7910587,Oil & Gas Refining & Marketing,14143.67377,7418.190965,15702.62793,NULL
298,82989,Auto Parts,1950.894718,562.5999819,2342.289122,14663
299,179100,Industrial Conglomerates,13332.34315,6909.521929,16163.19168,3884
300,4141864,Oil & Gas Exploration & Production,2487.011162,8071.923726,5201.639932,3861
301,2261.14,Capital Markets,13.94367496,19.56245054,409.1417739,936
